Percentage,a-index,ForwardBR,PageRank,ICOOK,h-index,k-core,PageRankIVOL,ElementRank,Pride,MinClass,iFit,CDAG
0.01,0,0.071428571,0.071428571,0.071428571,0.071428571,0,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571
0.02,0,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.142857143,0.071428571,0.071428571,0.071428571,0.071428571,0.142857143
0.03,0,0.071428571,0.071428571,0.214285714,0.071428571,0.071428571,0.142857143,0.142857143,0.142857143,0.071428571,0.142857143,0.214285714
0.04,0,0.142857143,0.142857143,0.214285714,0.071428571,0.071428571,0.214285714,0.214285714,0.214285714,0.071428571,0.214285714,0.214285714
0.05,0,0.142857143,0.142857143,0.214285714,0.285714286,0.071428571,0.214285714,0.214285714,0.214285714,0.142857143,0.214285714,0.214285714
0.06,0,0.214285714,0.214285714,0.214285714,0.285714286,0.071428571,0.214285714,0.214285714,0.285714286,0.214285714,0.285714286,0.285714286
0.07,0,0.214285714,0.214285714,0.214285714,0.285714286,0.428571429,0.285714286,0.285714286,0.285714286,0.285714286,0.357142857,0.357142857
0.08,0,0.214285714,0.214285714,0.285714286,0.357142857,0.428571429,0.285714286,0.285714286,0.357142857,0.357142857,0.357142857,0.428571429
0.09,0,0.285714286,0.285714286,0.285714286,0.357142857,0.428571429,0.285714286,0.285714286,0.357142857,0.357142857,0.428571429,0.428571429
0.1,0,0.357142857,0.357142857,0.428571429,0.357142857,0.428571429,0.285714286,0.357142857,0.357142857,0.357142857,0.428571429,0.428571429
0.11,0,0.357142857,0.357142857,0.428571429,0.642857143,0.428571429,0.285714286,0.357142857,0.428571429,0.357142857,0.428571429,0.5
0.12,0,0.357142857,0.357142857,0.428571429,0.642857143,0.428571429,0.357142857,0.357142857,0.428571429,0.357142857,0.5,0.571428571
0.13,0.071428571,0.428571429,0.428571429,0.428571429,0.642857143,0.428571429,0.357142857,0.357142857,0.428571429,0.357142857,0.571428571,0.571428571
0.14,0.071428571,0.5,0.5,0.428571429,0.642857143,0.714285714,0.357142857,0.357142857,0.428571429,0.357142857,0.571428571,0.642857143
0.15,0.071428571,0.571428571,0.571428571,0.428571429,0.714285714,0.714285714,0.357142857,0.357142857,0.428571429,0.357142857,0.571428571,0.714285714
