topNum,a-index,ForwardBR,PageRank,ICOOK,h-index,k-core,PageRankIVOL,ElementRank,Pride,MinClass,iFit,CDAG
1,0,0.111111111,0.111111111,0.111111111,0.111111111,0,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111
2,0,0.222222222,0.222222222,0.111111111,0.111111111,0,0.111111111,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222
3,0,0.333333333,0.333333333,0.111111111,0.222222222,0,0.111111111,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222
4,0,0.333333333,0.333333333,0.111111111,0.222222222,0,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.333333333
5,0,0.444444444,0.444444444,0.444444444,0.222222222,0.111111111,0.222222222,0.222222222,0.222222222,0.333333333,0.222222222,0.444444444
6,0,0.444444444,0.444444444,0.444444444,0.222222222,0.111111111,0.222222222,0.222222222,0.222222222,0.444444444,0.333333333,0.444444444
7,0,0.444444444,0.444444444,0.444444444,0.333333333,0.111111111,0.222222222,0.222222222,0.222222222,0.444444444,0.333333333,0.555555556
8,0,0.444444444,0.444444444,0.444444444,0.333333333,0.111111111,0.222222222,0.222222222,0.222222222,0.444444444,0.333333333,0.555555556
9,0,0.444444444,0.444444444,0.444444444,0.333333333,0.111111111,0.222222222,0.222222222,0.222222222,0.444444444,0.333333333,0.555555556
10,0,0.444444444,0.444444444,0.444444444,0.333333333,0.111111111,0.222222222,0.222222222,0.222222222,0.444444444,0.333333333,0.555555556
11,0,0.555555556,0.555555556,0.444444444,0.444444444,0.111111111,0.222222222,0.222222222,0.222222222,0.444444444,0.333333333,0.555555556
12,0,0.666666667,0.666666667,0.444444444,0.444444444,0.111111111,0.222222222,0.222222222,0.222222222,0.444444444,0.333333333,0.666666667
13,0,0.666666667,0.666666667,0.444444444,0.444444444,0.111111111,0.333333333,0.222222222,0.222222222,0.444444444,0.333333333,0.666666667
14,0,0.666666667,0.666666667,0.777777778,0.444444444,0.111111111,0.333333333,0.333333333,0.333333333,0.444444444,0.444444444,0.666666667
15,0,0.666666667,0.666666667,0.777777778,0.555555556,0.111111111,0.444444444,0.333333333,0.444444444,0.444444444,0.555555556,0.666666667
16,0,0.666666667,0.666666667,0.777777778,0.555555556,0.111111111,0.444444444,0.444444444,0.444444444,0.444444444,0.666666667,0.666666667
17,0,0.777777778,0.777777778,0.777777778,0.555555556,0.111111111,0.555555556,0.555555556,0.555555556,0.444444444,0.666666667,0.777777778
18,0,0.777777778,0.777777778,0.777777778,0.555555556,0.111111111,0.555555556,0.555555556,0.666666667,0.444444444,0.666666667,0.777777778
19,0,0.777777778,0.777777778,0.777777778,0.555555556,0.111111111,0.555555556,0.555555556,0.666666667,0.444444444,0.666666667,0.777777778
20,0,0.777777778,0.777777778,0.777777778,0.555555556,0.111111111,0.555555556,0.555555556,0.666666667,0.555555556,0.666666667,0.777777778
21,0,0.777777778,0.777777778,0.777777778,0.555555556,0.111111111,0.555555556,0.555555556,0.666666667,0.555555556,0.666666667,0.777777778
22,0,0.777777778,0.777777778,0.888888889,0.555555556,0.111111111,0.555555556,0.555555556,0.666666667,0.666666667,0.666666667,0.777777778
23,0,0.777777778,0.777777778,0.888888889,0.555555556,0.666666667,0.555555556,0.555555556,0.666666667,0.666666667,0.666666667,0.777777778
24,0,0.777777778,0.777777778,0.888888889,0.555555556,0.666666667,0.555555556,0.666666667,0.777777778,0.666666667,0.777777778,0.777777778
25,0,0.777777778,0.777777778,0.888888889,0.666666667,0.666666667,0.555555556,0.666666667,0.777777778,0.666666667,0.777777778,0.777777778
