Percentage,a-index,ForwardBR,PageRank,ICOOK,h-index,k-core,PageRankIVOL,ElementRank,Pride,MinClass,iFit,CDAG
0.01,0,0.206896552,0.206896552,0.137931034,0.172413793,0.24137931,0.137931034,0.137931034,0.137931034,0.206896552,0.137931034,0.137931034
0.02,0,0.275862069,0.275862069,0.24137931,0.310344828,0.24137931,0.24137931,0.24137931,0.24137931,0.344827586,0.275862069,0.310344828
0.03,0,0.275862069,0.275862069,0.275862069,0.344827586,0.344827586,0.24137931,0.275862069,0.344827586,0.413793103,0.379310345,0.448275862
0.04,0,0.310344828,0.310344828,0.310344828,0.379310345,0.344827586,0.344827586,0.379310345,0.448275862,0.482758621,0.448275862,0.517241379
0.05,0,0.344827586,0.344827586,0.344827586,0.517241379,0.517241379,0.379310345,0.448275862,0.448275862,0.482758621,0.482758621,0.586206897
0.06,0,0.344827586,0.344827586,0.448275862,0.517241379,0.551724138,0.482758621,0.517241379,0.482758621,0.482758621,0.482758621,0.655172414
0.07,0,0.379310345,0.379310345,0.448275862,0.551724138,0.586206897,0.482758621,0.517241379,0.517241379,0.517241379,0.482758621,0.689655172
0.08,0,0.413793103,0.413793103,0.586206897,0.586206897,0.586206897,0.517241379,0.551724138,0.517241379,0.517241379,0.517241379,0.724137931
0.09,0,0.448275862,0.448275862,0.586206897,0.620689655,0.620689655,0.517241379,0.551724138,0.551724138,0.517241379,0.551724138,0.724137931
0.1,0,0.482758621,0.482758621,0.586206897,0.620689655,0.620689655,0.517241379,0.551724138,0.551724138,0.517241379,0.655172414,0.724137931
0.11,0,0.517241379,0.517241379,0.586206897,0.620689655,0.620689655,0.551724138,0.551724138,0.586206897,0.620689655,0.724137931,0.724137931
0.12,0,0.517241379,0.517241379,0.655172414,0.655172414,0.655172414,0.586206897,0.551724138,0.586206897,0.689655172,0.724137931,0.75862069
0.13,0.103448276,0.551724138,0.551724138,0.655172414,0.655172414,0.655172414,0.586206897,0.586206897,0.586206897,0.689655172,0.724137931,0.793103448
0.14,0.103448276,0.551724138,0.551724138,0.655172414,0.655172414,0.655172414,0.586206897,0.655172414,0.620689655,0.689655172,0.724137931,0.931034483
0.15,0.103448276,0.586206897,0.586206897,0.655172414,0.655172414,0.655172414,0.620689655,0.689655172,0.689655172,0.689655172,0.724137931,0.931034483
