topNum,a-index,ForwardBR,PageRank,ICOOK,h-index,k-core,PageRankIVOL,ElementRank,Pride,MinClass,iFit,CDAG
1,0,0.083333333,0.083333333,0,0.083333333,0,0,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333
2,0,0.083333333,0.083333333,0,0.166666667,0,0.083333333,0.083333333,0.166666667,0.083333333,0.083333333,0.166666667
3,0,0.083333333,0.083333333,0,0.166666667,0,0.166666667,0.083333333,0.25,0.083333333,0.166666667,0.25
4,0,0.166666667,0.166666667,0,0.166666667,0,0.166666667,0.166666667,0.25,0.166666667,0.25,0.333333333
5,0,0.166666667,0.166666667,0.083333333,0.166666667,0,0.166666667,0.25,0.25,0.25,0.333333333,0.416666667
6,0,0.25,0.25,0.083333333,0.166666667,0,0.25,0.25,0.333333333,0.333333333,0.416666667,0.5
7,0,0.333333333,0.333333333,0.083333333,0.166666667,0,0.25,0.333333333,0.333333333,0.333333333,0.416666667,0.5
8,0,0.333333333,0.333333333,0.083333333,0.166666667,0,0.333333333,0.333333333,0.416666667,0.416666667,0.416666667,0.5
9,0,0.333333333,0.333333333,0.083333333,0.166666667,0,0.333333333,0.416666667,0.416666667,0.416666667,0.5,0.583333333
10,0,0.416666667,0.416666667,0.083333333,0.166666667,0,0.333333333,0.416666667,0.416666667,0.416666667,0.5,0.583333333
11,0,0.5,0.5,0.083333333,0.166666667,0,0.416666667,0.416666667,0.5,0.416666667,0.5,0.666666667
12,0,0.583333333,0.583333333,0.083333333,0.166666667,0,0.416666667,0.416666667,0.5,0.416666667,0.5,0.75
13,0,0.583333333,0.583333333,0.083333333,0.166666667,0,0.5,0.416666667,0.5,0.416666667,0.5,0.75
14,0,0.583333333,0.583333333,0.083333333,0.166666667,0.416666667,0.5,0.416666667,0.583333333,0.416666667,0.583333333,0.75
15,0,0.583333333,0.583333333,0.083333333,0.166666667,0.416666667,0.5,0.416666667,0.666666667,0.416666667,0.666666667,0.75
16,0,0.583333333,0.583333333,0.083333333,0.166666667,0.416666667,0.583333333,0.416666667,0.666666667,0.416666667,0.75,0.75
17,0,0.583333333,0.583333333,0.5,0.416666667,0.416666667,0.583333333,0.5,0.666666667,0.416666667,0.75,0.833333333
18,0,0.583333333,0.583333333,0.5,0.416666667,0.416666667,0.583333333,0.583333333,0.666666667,0.5,0.75,0.833333333
19,0,0.583333333,0.583333333,0.5,0.416666667,0.416666667,0.583333333,0.583333333,0.666666667,0.5,0.75,0.833333333
20,0,0.583333333,0.583333333,0.5,0.416666667,0.416666667,0.583333333,0.583333333,0.75,0.5,0.833333333,0.833333333
21,0,0.583333333,0.583333333,0.5,0.416666667,0.416666667,0.583333333,0.666666667,0.75,0.5,0.833333333,0.833333333
22,0,0.583333333,0.583333333,0.5,0.416666667,0.416666667,0.666666667,0.75,0.75,0.583333333,0.833333333,0.833333333
23,0,0.583333333,0.583333333,0.5,0.416666667,0.416666667,0.75,0.75,0.75,0.583333333,0.833333333,0.833333333
24,0,0.583333333,0.583333333,0.5,0.416666667,0.416666667,0.833333333,0.75,0.75,0.583333333,0.833333333,0.833333333
25,0,0.583333333,0.583333333,0.5,0.416666667,0.416666667,0.833333333,0.75,0.75,0.666666667,0.916666667,0.833333333
