Percentage,a-index,ForwardBR,PageRank,ICOOK,h-index,k-core,PageRankIVOL,ElementRank,Pride,MinClass,iFit,CDAG
0.01,0,0.083333333,0.083333333,0.166666667,0.25,0.25,0,0,0.083333333,0.083333333,0.166666667,0.25
0.02,0,0.25,0.25,0.333333333,0.5,0.416666667,0.166666667,0.166666667,0.25,0.25,0.333333333,0.5
0.03,0,0.5,0.5,0.333333333,0.5,0.416666667,0.333333333,0.25,0.333333333,0.25,0.416666667,0.666666667
0.04,0,0.583333333,0.583333333,0.5,0.583333333,0.583333333,0.333333333,0.333333333,0.416666667,0.416666667,0.416666667,0.833333333
0.05,0,0.583333333,0.583333333,0.5,0.583333333,0.583333333,0.416666667,0.416666667,0.5,0.416666667,0.666666667,1
0.06,0,0.75,0.75,0.666666667,0.666666667,0.583333333,0.5,0.416666667,0.5,0.583333333,0.75,1
0.07,0,0.75,0.75,0.666666667,0.666666667,0.583333333,0.583333333,0.5,0.666666667,0.833333333,0.75,1
0.08,0,0.75,0.75,0.666666667,0.666666667,0.583333333,0.583333333,0.583333333,0.75,0.833333333,0.75,1
0.09,0,0.75,0.75,0.666666667,0.833333333,0.583333333,0.666666667,0.666666667,0.75,0.833333333,0.75,1
0.1,0,0.75,0.75,0.666666667,0.833333333,0.666666667,0.75,0.75,0.75,0.833333333,0.75,1
0.11,0,0.75,0.75,0.75,0.833333333,0.666666667,0.75,0.75,0.833333333,0.916666667,0.75,1
0.12,0,0.75,0.75,0.75,0.916666667,0.666666667,0.75,0.75,0.833333333,0.916666667,0.75,1
0.13,0,0.75,0.75,0.75,0.916666667,0.916666667,0.75,0.75,0.916666667,1,0.75,1
0.14,0,0.833333333,0.833333333,0.833333333,0.916666667,0.916666667,0.75,0.833333333,0.916666667,1,0.833333333,1
0.15,0,0.833333333,0.833333333,0.916666667,1,0.916666667,0.75,1,0.916666667,1,0.833333333,1
