topNum,a-index,ForwardBR,PageRank,ICOOK,h-index,k-core,PageRankIVOL,ElementRank,Pride,MinClass,iFit,CDAG
1,0,0.037037037,0.037037037,0,0,0,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037
2,0,0.074074074,0.074074074,0.037037037,0.074074074,0,0.074074074,0.074074074,0.074074074,0.074074074,0.074074074,0.074074074
3,0,0.111111111,0.111111111,0.037037037,0.074074074,0,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111
4,0,0.148148148,0.148148148,0.148148148,0.074074074,0,0.148148148,0.148148148,0.148148148,0.148148148,0.148148148,0.148148148
5,0,0.185185185,0.185185185,0.148148148,0.074074074,0,0.185185185,0.185185185,0.185185185,0.185185185,0.185185185,0.185185185
6,0,0.222222222,0.222222222,0.148148148,0.074074074,0.259259259,0.222222222,0.222222222,0.222222222,0.222222222,0.185185185,0.222222222
7,0.185185185,0.259259259,0.259259259,0.222222222,0.222222222,0.259259259,0.259259259,0.259259259,0.259259259,0.259259259,0.222222222,0.259259259
8,0.185185185,0.296296296,0.296296296,0.222222222,0.222222222,0.259259259,0.296296296,0.296296296,0.296296296,0.296296296,0.259259259,0.296296296
9,0.185185185,0.296296296,0.296296296,0.296296296,0.222222222,0.259259259,0.296296296,0.333333333,0.333333333,0.333333333,0.296296296,0.333333333
10,0.185185185,0.333333333,0.333333333,0.296296296,0.222222222,0.259259259,0.296296296,0.333333333,0.333333333,0.37037037,0.333333333,0.333333333
11,0.222222222,0.37037037,0.37037037,0.333333333,0.222222222,0.259259259,0.333333333,0.37037037,0.37037037,0.37037037,0.37037037,0.37037037
12,0.222222222,0.37037037,0.37037037,0.333333333,0.222222222,0.259259259,0.333333333,0.37037037,0.37037037,0.407407407,0.37037037,0.407407407
13,0.222222222,0.37037037,0.37037037,0.333333333,0.222222222,0.259259259,0.333333333,0.37037037,0.37037037,0.444444444,0.407407407,0.444444444
14,0.222222222,0.407407407,0.407407407,0.333333333,0.222222222,0.259259259,0.37037037,0.37037037,0.407407407,0.444444444,0.444444444,0.444444444
15,0.222222222,0.444444444,0.444444444,0.37037037,0.444444444,0.259259259,0.407407407,0.37037037,0.407407407,0.481481481,0.481481481,0.444444444
16,0.222222222,0.444444444,0.444444444,0.37037037,0.444444444,0.259259259,0.407407407,0.37037037,0.407407407,0.481481481,0.481481481,0.444444444
17,0.222222222,0.444444444,0.444444444,0.37037037,0.444444444,0.259259259,0.407407407,0.37037037,0.444444444,0.481481481,0.481481481,0.444444444
18,0.222222222,0.444444444,0.444444444,0.407407407,0.444444444,0.481481481,0.444444444,0.407407407,0.444444444,0.481481481,0.518518519,0.444444444
19,0.222222222,0.444444444,0.444444444,0.407407407,0.444444444,0.481481481,0.444444444,0.444444444,0.444444444,0.481481481,0.518518519,0.444444444
20,0.222222222,0.444444444,0.444444444,0.444444444,0.444444444,0.481481481,0.444444444,0.481481481,0.481481481,0.481481481,0.518518519,0.481481481
21,0.259259259,0.444444444,0.444444444,0.444444444,0.444444444,0.481481481,0.481481481,0.481481481,0.518518519,0.518518519,0.518518519,0.518518519
22,0.296296296,0.444444444,0.444444444,0.481481481,0.444444444,0.481481481,0.481481481,0.481481481,0.518518519,0.518518519,0.518518519,0.518518519
23,0.296296296,0.444444444,0.444444444,0.481481481,0.444444444,0.481481481,0.481481481,0.481481481,0.518518519,0.518518519,0.518518519,0.518518519
24,0.296296296,0.444444444,0.444444444,0.481481481,0.444444444,0.481481481,0.481481481,0.518518519,0.518518519,0.518518519,0.518518519,0.518518519
25,0.296296296,0.481481481,0.481481481,0.481481481,0.444444444,0.481481481,0.518518519,0.518518519,0.555555556,0.518518519,0.555555556,0.555555556
