topNum,a-index,ForwardBR,PageRank,ICOOK,h-index,k-core,PageRankIVOL,ElementRank,Pride,MinClass,iFit,CDAG
1,0,0,0,0,0.071428571,0,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571
2,0,0,0,0,0.071428571,0,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571
3,0,0.071428571,0.071428571,0.071428571,0.071428571,0,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571
4,0,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.142857143,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571
5,0,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.142857143,0.071428571,0.071428571,0.071428571,0.071428571,0.142857143
6,0,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.142857143,0.142857143,0.071428571,0.071428571,0.071428571,0.142857143
7,0,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.142857143,0.142857143,0.142857143,0.071428571,0.071428571,0.142857143
8,0,0.071428571,0.071428571,0.214285714,0.071428571,0.071428571,0.142857143,0.142857143,0.142857143,0.071428571,0.142857143,0.214285714
9,0,0.142857143,0.142857143,0.214285714,0.071428571,0.071428571,0.214285714,0.214285714,0.214285714,0.071428571,0.214285714,0.214285714
10,0,0.142857143,0.142857143,0.214285714,0.071428571,0.071428571,0.214285714,0.214285714,0.214285714,0.071428571,0.214285714,0.214285714
11,0,0.142857143,0.142857143,0.214285714,0.071428571,0.071428571,0.214285714,0.214285714,0.214285714,0.071428571,0.214285714,0.214285714
12,0,0.142857143,0.142857143,0.214285714,0.285714286,0.071428571,0.214285714,0.214285714,0.214285714,0.142857143,0.214285714,0.214285714
13,0,0.142857143,0.142857143,0.214285714,0.285714286,0.071428571,0.214285714,0.214285714,0.214285714,0.142857143,0.214285714,0.214285714
14,0,0.214285714,0.214285714,0.214285714,0.285714286,0.071428571,0.214285714,0.214285714,0.214285714,0.214285714,0.285714286,0.285714286
15,0,0.214285714,0.214285714,0.214285714,0.285714286,0.071428571,0.214285714,0.214285714,0.214285714,0.214285714,0.285714286,0.285714286
16,0,0.214285714,0.214285714,0.214285714,0.285714286,0.071428571,0.214285714,0.214285714,0.285714286,0.214285714,0.285714286,0.285714286
17,0,0.214285714,0.214285714,0.214285714,0.285714286,0.428571429,0.285714286,0.285714286,0.285714286,0.285714286,0.357142857,0.357142857
18,0,0.214285714,0.214285714,0.214285714,0.285714286,0.428571429,0.285714286,0.285714286,0.285714286,0.285714286,0.357142857,0.357142857
19,0,0.214285714,0.214285714,0.214285714,0.285714286,0.428571429,0.285714286,0.285714286,0.285714286,0.285714286,0.357142857,0.428571429
20,0,0.214285714,0.214285714,0.285714286,0.357142857,0.428571429,0.285714286,0.285714286,0.357142857,0.357142857,0.357142857,0.428571429
21,0,0.214285714,0.214285714,0.285714286,0.357142857,0.428571429,0.285714286,0.285714286,0.357142857,0.357142857,0.357142857,0.428571429
22,0,0.214285714,0.214285714,0.285714286,0.357142857,0.428571429,0.285714286,0.285714286,0.357142857,0.357142857,0.428571429,0.428571429
23,0,0.285714286,0.285714286,0.285714286,0.357142857,0.428571429,0.285714286,0.285714286,0.357142857,0.357142857,0.428571429,0.428571429
24,0,0.285714286,0.285714286,0.285714286,0.357142857,0.428571429,0.285714286,0.357142857,0.357142857,0.357142857,0.428571429,0.428571429
25,0,0.285714286,0.285714286,0.428571429,0.357142857,0.428571429,0.285714286,0.357142857,0.357142857,0.357142857,0.428571429,0.428571429
