topNum,a-index,ForwardBR,PageRank,ICOOK,h-index,k-core,PageRankIVOL,ElementRank,Pride,MinClass,iFit,CDAG
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0.083333333,0.083333333,0,0,0.083333333,0,0,0,0,0,0
5,0,0.083333333,0.083333333,0,0.083333333,0.083333333,0,0,0,0,0,0.083333333
6,0,0.083333333,0.083333333,0,0.083333333,0.083333333,0,0,0,0,0,0.083333333
7,0,0.083333333,0.083333333,0.083333333,0.166666667,0.083333333,0,0,0,0,0,0.166666667
8,0,0.083333333,0.083333333,0.083333333,0.166666667,0.083333333,0,0,0,0,0,0.166666667
9,0,0.083333333,0.083333333,0.083333333,0.166666667,0.083333333,0,0,0,0.083333333,0,0.25
10,0,0.083333333,0.083333333,0.083333333,0.25,0.083333333,0,0,0,0.083333333,0,0.25
11,0,0.083333333,0.083333333,0.083333333,0.25,0.083333333,0,0,0,0.083333333,0.083333333,0.333333333
12,0,0.166666667,0.166666667,0.083333333,0.25,0.083333333,0,0,0.083333333,0.083333333,0.166666667,0.333333333
13,0,0.166666667,0.166666667,0.083333333,0.333333333,0.083333333,0,0,0.083333333,0.083333333,0.166666667,0.333333333
14,0,0.166666667,0.166666667,0.25,0.333333333,0.083333333,0,0,0.083333333,0.083333333,0.166666667,0.333333333
15,0,0.166666667,0.166666667,0.25,0.333333333,0.083333333,0,0,0.166666667,0.083333333,0.166666667,0.333333333
16,0,0.166666667,0.166666667,0.25,0.333333333,0.083333333,0,0.083333333,0.166666667,0.166666667,0.166666667,0.333333333
17,0,0.166666667,0.166666667,0.25,0.333333333,0.416666667,0,0.083333333,0.166666667,0.166666667,0.166666667,0.333333333
18,0,0.166666667,0.166666667,0.25,0.333333333,0.416666667,0.083333333,0.083333333,0.166666667,0.166666667,0.25,0.333333333
19,0,0.25,0.25,0.25,0.416666667,0.416666667,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,0.416666667
20,0,0.25,0.25,0.25,0.416666667,0.416666667,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,0.416666667
21,0,0.25,0.25,0.25,0.416666667,0.416666667,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,0.416666667
22,0,0.25,0.25,0.25,0.416666667,0.416666667,0.166666667,0.166666667,0.166666667,0.25,0.333333333,0.416666667
23,0,0.25,0.25,0.25,0.5,0.416666667,0.166666667,0.166666667,0.25,0.25,0.333333333,0.416666667
24,0,0.25,0.25,0.25,0.5,0.416666667,0.166666667,0.166666667,0.25,0.25,0.333333333,0.416666667
25,0,0.333333333,0.333333333,0.25,0.5,0.416666667,0.166666667,0.166666667,0.25,0.25,0.333333333,0.5
