Percentage,a-index,ForwardBR,PageRank,ICOOK,h-index,k-core,PageRankIVOL,ElementRank,Pride,MinClass,iFit,CDAG
0.01,0,0.571428571,0.571428571,0.714285714,0.571428571,0.571428571,0.714285714,0.714285714,0.714285714,0.571428571,0.714285714,0.571428571
0.02,0,0.857142857,0.857142857,0.857142857,0.857142857,0.571428571,0.714285714,0.714285714,0.857142857,0.714285714,0.857142857,0.714285714
0.03,0,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.857142857,1
0.04,0,1,1,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.857142857,1
0.05,0,1,1,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,1,1
0.06,0,1,1,0.857142857,0.857142857,0.857142857,1,0.857142857,1,0.857142857,1,1
0.07,0,1,1,0.857142857,0.857142857,0.857142857,1,0.857142857,1,0.857142857,1,1
0.08,0,1,1,0.857142857,0.857142857,0.857142857,1,0.857142857,1,1,1,1
0.09,0,1,1,0.857142857,0.857142857,0.857142857,1,1,1,1,1,1
0.1,0,1,1,0.857142857,0.857142857,0.857142857,1,1,1,1,1,1
0.11,0,1,1,0.857142857,0.857142857,0.857142857,1,1,1,1,1,1
0.12,0,1,1,0.857142857,0.857142857,0.857142857,1,1,1,1,1,1
0.13,0,1,1,0.857142857,1,0.857142857,1,1,1,1,1,1
0.14,0,1,1,0.857142857,1,0.857142857,1,1,1,1,1,1
0.15,0,1,1,0.857142857,1,0.857142857,1,1,1,1,1,1
