topNum,a-index,ForwardBR,PageRank,ICOOK,h-index,k-core,PageRankIVOL,ElementRank,Pride,MinClass,iFit,CDAG
1,0,0.034482759,0.034482759,0,0,0,0,0,0.034482759,0.034482759,0.034482759,0
2,0,0.068965517,0.068965517,0.034482759,0.068965517,0,0,0.034482759,0.034482759,0.068965517,0.034482759,0.034482759
3,0,0.068965517,0.068965517,0.034482759,0.068965517,0,0.034482759,0.034482759,0.034482759,0.068965517,0.034482759,0.068965517
4,0,0.103448276,0.103448276,0.034482759,0.068965517,0,0.068965517,0.068965517,0.068965517,0.068965517,0.034482759,0.068965517
5,0,0.103448276,0.103448276,0.034482759,0.103448276,0,0.068965517,0.068965517,0.103448276,0.103448276,0.068965517,0.103448276
6,0,0.103448276,0.103448276,0.034482759,0.103448276,0,0.068965517,0.068965517,0.103448276,0.103448276,0.068965517,0.103448276
7,0,0.137931034,0.137931034,0.034482759,0.172413793,0,0.068965517,0.068965517,0.103448276,0.103448276,0.068965517,0.103448276
8,0,0.137931034,0.137931034,0.137931034,0.172413793,0,0.103448276,0.068965517,0.137931034,0.137931034,0.068965517,0.103448276
9,0,0.172413793,0.172413793,0.137931034,0.172413793,0,0.103448276,0.103448276,0.137931034,0.137931034,0.068965517,0.103448276
10,0,0.172413793,0.172413793,0.137931034,0.172413793,0.24137931,0.137931034,0.137931034,0.137931034,0.172413793,0.103448276,0.137931034
11,0,0.206896552,0.206896552,0.137931034,0.172413793,0.24137931,0.137931034,0.137931034,0.137931034,0.206896552,0.137931034,0.137931034
12,0,0.206896552,0.206896552,0.137931034,0.172413793,0.24137931,0.137931034,0.137931034,0.172413793,0.206896552,0.172413793,0.172413793
13,0,0.206896552,0.206896552,0.137931034,0.206896552,0.24137931,0.137931034,0.172413793,0.172413793,0.24137931,0.206896552,0.172413793
14,0,0.206896552,0.206896552,0.206896552,0.206896552,0.24137931,0.137931034,0.172413793,0.172413793,0.24137931,0.206896552,0.206896552
15,0,0.206896552,0.206896552,0.206896552,0.206896552,0.24137931,0.137931034,0.206896552,0.172413793,0.24137931,0.24137931,0.206896552
16,0,0.206896552,0.206896552,0.206896552,0.206896552,0.24137931,0.137931034,0.206896552,0.206896552,0.24137931,0.24137931,0.24137931
17,0,0.24137931,0.24137931,0.206896552,0.206896552,0.24137931,0.172413793,0.206896552,0.206896552,0.24137931,0.24137931,0.24137931
18,0,0.275862069,0.275862069,0.206896552,0.206896552,0.24137931,0.172413793,0.206896552,0.24137931,0.24137931,0.24137931,0.275862069
19,0,0.275862069,0.275862069,0.24137931,0.310344828,0.24137931,0.172413793,0.206896552,0.24137931,0.24137931,0.275862069,0.310344828
20,0,0.275862069,0.275862069,0.24137931,0.310344828,0.24137931,0.206896552,0.24137931,0.24137931,0.275862069,0.275862069,0.310344828
21,0,0.275862069,0.275862069,0.24137931,0.310344828,0.24137931,0.206896552,0.24137931,0.24137931,0.310344828,0.275862069,0.310344828
22,0,0.275862069,0.275862069,0.24137931,0.310344828,0.24137931,0.24137931,0.24137931,0.24137931,0.344827586,0.275862069,0.310344828
23,0,0.275862069,0.275862069,0.24137931,0.310344828,0.24137931,0.24137931,0.24137931,0.24137931,0.344827586,0.310344828,0.310344828
24,0,0.275862069,0.275862069,0.275862069,0.310344828,0.24137931,0.24137931,0.24137931,0.24137931,0.344827586,0.344827586,0.310344828
25,0,0.275862069,0.275862069,0.275862069,0.310344828,0.24137931,0.24137931,0.24137931,0.275862069,0.344827586,0.344827586,0.310344828
